,Rock Climbing Gym Name,State,City,Sq Ft,Rope Climbing,Website,Day pass price,Monthly Membership,Gym Rating,Number of Ratings
0,YMCA Camp Cosby Alpine Tower,Alabama,Alpine,NA,,,,,,
1,Auburn Univeristy Climbing Wall,Alabama,Auburn,6200,,,,,,
2,University of Alabama at Birmingham,Alabama,Birmingham,2000,,,,,,
3,Birmingham Boulders,Alabama,Birmingham,10000,,,,,,
4,High Point Climbing and Fitness,Alabama,Birmingham,NA,,,,,,
5,Fort-Rucker Physical Fitness Center,Alabama,Fort Rucker,3000,,,,,,
6,Insanity Complex,Alabama,Madison,NA,,,,,,
7,University of South Alabama Rockwall,Alabama,Mobile,2275,,,,,,
8,AUM Wellness Center Climbing Wall,Alabama,Montgomery,NA,,,,,,
9,Faucett Brothers Activity Center,Alabama,Northport,NA,,,,,,
10,University of Alabama Climbing Wall,Alabama,Tuscaloosa,NA,,,,,,
11,Alaska Rock Gym,Alaska,Anchorage,NA,,,,,,
12,Alaska Pacific University Climbing Wall,Alaska,Anchorage,NA,,,,,,
13,Ascension Rock Club,Alaska,Fairbanks,4900,,,,,,
14,The Rock Dump,Alaska,Juneau,11000,,,,,,
15,University of Alaska Southeast,Alaska,Juneau,NA,,,,,,
16,Skagway Recreation Center,Alaska,Skagway,1700,,,,,,
17,Beta Bouldering Gym,Arizona,Flagstaff,4500,,,,,,
18,Flagstaff Climbing,Arizona,Flagstaff,9000,,,,,,
19,Focus Climbing Center,Arizona,Mesa,NA,,,,,,
20,Ape Index Climbing Gym,Arizona,Peoria,NA,,,,,,
21,Black Rock Bouldering Gym,Arizona,Phoenix,NA,,,,,,
22,AZ on the Rocks,Arizona,Scottsdale,NA,,,,,,
23,Ciba Climbing,Arizona,Sierra Vista,NA,,,,,,
24,Climbmax Climbing Gym,Arizona,Tempe,NA,,,,,,
25,Phoenix Rock Gym,Arizona,Tempe,17000,,,,,,
26,Rocks and Ropes Downtown,Arizona,Tucson,20000,,,,,,
27,University of Arkansas Climbing Facilities,Arkansas,Fayetteville,2000,,,,,,
28,Climb Fayetteville,Arkansas,Fayetteville,NA,,,,,,
29,Arkansas State University Climbing Wall,Arkansas,Jonesboro,600,Yes,,,,,
30,Little Rock Climbing Center,Arkansas,Little Rock,5000,Yes,https://www.littlerockclimbingcenter.com/,5,,,
31,Ozark Climbing Gym,Arkansas,Springdale,NA,No,https://www.ozarkclimbing.com/home,12,45,,
32,Zion Climbing Center,Arkansas,Searcy,NA,Yes,https://www.zionclimbingcenter.com/visit-us/,10,75,,
